,time,file,y,color,planet,last_value
169,[0.0000e+00 1.0000e-04 2.0000e-04 ... 7.1998e+00 7.1999e+00 7.2000e+00],cmass2_cecc5_cvisc1,[0.99999935 0.99999919 0.99999902 ... 0.04009311 0.04009254 0.04009197],orange,c,0.04009196702087675
170,[0.0000e+00 1.0000e-04 2.0000e-04 ... 7.1998e+00 7.1999e+00 7.2000e+00],cmass2_cecc5_cvisc2,[0.99999953 0.99999943 0.99999932 ... 0.04992707 0.04992636 0.04992565],orange,c,0.04992564631364774
171,[0.0000e+00 1.0000e-04 2.0000e-04 ... 7.1998e+00 7.1999e+00 7.2000e+00],cmass2_cecc5_cvisc3,[0.99999965 0.99999959 0.99999953 ... 0.0621804  0.06217952 0.06217864],orange,c,0.06217863570172924
172,[0.0000e+00 1.0000e-04 2.0000e-04 ... 7.1998e+00 7.1999e+00 7.2000e+00],cmass2_cecc5_cvisc4,[0.99999975 0.99999971 0.99999967 ... 0.0773886  0.07738752 0.07738643],orange,c,0.07738642588846695
173,[0.0000e+00 1.0000e-04 2.0000e-04 ... 7.1998e+00 7.1999e+00 7.2000e+00],cmass2_cecc5_cvisc5,[0.99999982 0.99999979 0.99999977 ... 0.09616843 0.09616709 0.09616575],orange,c,0.09616574921916946
174,[0.0000e+00 1.0000e-04 2.0000e-04 ... 7.1998e+00 7.1999e+00 7.2000e+00],cmass2_cecc5_cvisc6,[0.99999987 0.99999985 0.99999984 ... 0.11920958 0.11920794 0.1192063 ],orange,c,0.11920630062606175
175,[0.0000e+00 1.0000e-04 2.0000e-04 ... 7.1998e+00 7.1999e+00 7.2000e+00],cmass2_cecc5_cvisc7,[0.9999999  0.99999989 0.99999989 ... 0.14725505 0.14725306 0.14725107],orange,c,0.14725106778318112
176,[0.0000e+00 1.0000e-04 2.0000e-04 ... 7.1998e+00 7.1999e+00 7.2000e+00],cmass2_cecc6_cvisc0,[0.9999989  0.99999856 0.9999982  ... 0.02909863 0.0290982  0.02909777],orange,c,0.029097771631268508
177,[0.0000e+00 1.0000e-04 2.0000e-04 ... 7.1998e+00 7.1999e+00 7.2000e+00],cmass2_cecc6_cvisc1,[0.99999919 0.99999898 0.99999877 ... 0.03646876 0.03646822 0.03646769],orange,c,0.03646768812750053
178,[0.0000e+00 1.0000e-04 2.0000e-04 ... 7.1998e+00 7.1999e+00 7.2000e+00],cmass2_cecc6_cvisc2,[0.99999941 0.99999928 0.99999916 ... 0.04566947 0.04566881 0.04566814],orange,c,0.04566814084366304
179,[0.0000e+00 1.0000e-04 2.0000e-04 ... 7.1998e+00 7.1999e+00 7.2000e+00],cmass2_cecc6_cvisc3,[0.99999957 0.99999949 0.99999942 ... 0.05712507 0.05712424 0.05712342],orange,c,0.05712341531448514
180,[0.0000e+00 1.0000e-04 2.0000e-04 ... 7.1998e+00 7.1999e+00 7.2000e+00],cmass2_cecc6_cvisc4,[0.99999969 0.99999964 0.99999959 ... 0.07133519 0.07133416 0.07133314],orange,c,0.07133314134513387
181,[0.0000e+00 1.0000e-04 2.0000e-04 ... 7.1998e+00 7.1999e+00 7.2000e+00],cmass2_cecc6_cvisc5,[0.99999977 0.99999974 0.99999972 ... 0.08887586 0.0888746  0.08887334],orange,c,0.08887333640988726
182,[0.0000e+00 1.0000e-04 2.0000e-04 ... 7.1998e+00 7.1999e+00 7.2000e+00],cmass2_cecc6_cvisc6,[0.99999983 0.99999982 0.9999998  ... 0.11039267 0.11039113 0.11038959],orange,c,0.11038958975881322
183,[0.0000e+00 1.0000e-04 2.0000e-04 ... 7.1998e+00 7.1999e+00 7.2000e+00],cmass2_cecc6_cvisc7,[0.99999988 0.99999987 0.99999986 ... 0.13658414 0.13658226 0.13658039],orange,c,0.13658038847647458
184,[0.0000e+00 1.0000e-04 2.0000e-04 ... 7.1998e+00 7.1999e+00 7.2000e+00],cmass2_cecc7_cvisc0,[0.999999   0.99999869 0.99999836 ... 0.02972092 0.02972048 0.02972004],orange,c,0.02972003526276212
185,[0.0000e+00 1.0000e-04 2.0000e-04 ... 7.1998e+00 7.1999e+00 7.2000e+00],cmass2_cecc7_cvisc1,[0.99999926 0.99999907 0.99999888 ... 0.03730428 0.03730373 0.03730318],orange,c,0.03730317882263982
186,[0.0000e+00 1.0000e-04 2.0000e-04 ... 7.1998e+00 7.1999e+00 7.2000e+00],cmass2_cecc7_cvisc2,[0.99999946 0.99999935 0.99999923 ... 0.04677518 0.0467745  0.04677381],orange,c,0.04677381437094723
187,[0.0000e+00 1.0000e-04 2.0000e-04 ... 7.1998e+00 7.1999e+00 7.2000e+00],cmass2_cecc7_cvisc3,[0.99999961 0.99999954 0.99999947 ... 0.05857153 0.05857068 0.05856983],orange,c,0.05856983211403613
188,[0.0000e+00 1.0000e-04 2.0000e-04 ... 7.1998e+00 7.1999e+00 7.2000e+00],cmass2_cecc7_cvisc4,[0.99999971 0.99999967 0.99999963 ... 0.0732087  0.07320765 0.0732066 ],orange,c,0.07320659941456108
189,[0.0000e+00 1.0000e-04 2.0000e-04 ... 7.1998e+00 7.1999e+00 7.2000e+00],cmass2_cecc7_cvisc5,[0.99999979 0.99999977 0.99999974 ... 0.09128049 0.0912792  0.0912779 ],orange,c,0.09127790336777512
190,[0.0000e+00 1.0000e-04 2.0000e-04 ... 7.1998e+00 7.1999e+00 7.2000e+00],cmass2_cecc7_cvisc6,[0.99999985 0.99999983 0.99999982 ... 0.11345164 0.11345005 0.11344847],orange,c,0.11344846855945977
191,[0.0000e+00 1.0000e-04 2.0000e-04 ... 7.1998e+00 7.1999e+00 7.2000e+00],cmass2_cecc7_cvisc7,[0.99999989 0.99999988 0.99999987 ... 0.1404399  0.14043797 0.14043605],orange,c,0.1404360480132352
192,[0.0000e+00 1.0000e-04 2.0000e-04 ... 7.1998e+00 7.1999e+00 7.2000e+00],cmass3_cecc0_cvisc0,[1. 1. 1. ... 1. 1. 1.],orange,c,1.0
193,[0.0000e+00 1.0000e-04 2.0000e-04 ... 7.1998e+00 7.1999e+00 7.2000e+00],cmass3_cecc0_cvisc1,[1. 1. 1. ... 1. 1. 1.],orange,c,1.0
